109.4.1.1306	PF00515,PF13414	37	3652850	C4J4W3_F1_nD2	C4J4W3_F1	afdb	145	2704253
109.4.1.1306	PF00515,PF13414	37	3776576	O35814_F1_nD2	O35814_F1	afdb	125	2867160
109.4.1.1306	PF00515,PF13414	37	2812029	e7kw7E2	7kw7_E	pdb	125	2229801
109.4.1.1306	PF00515,PF13414	37	3859915	Q60864_F1_nD2	Q60864_F1	afdb	125	2760282
109.4.1.1306	PF00515,PF13414	37	3807375	Q8RXN1_F1_nD1	Q8RXN1_F1	afdb	323	2812446
109.4.1.1306	PF00515,PF13414	37	2875778	e8a61J2	8a61_J	pdb		2338824
109.4.1.1306	PF00515,PF13414	37	2875779	e8a61K1	8a61_K	pdb		2338821
109.4.1.1306	PF00515,PF13414	37	3548653	O94826_F1_nD1	O94826_F1	afdb	150	2550436
109.4.1.1306	PF00515,PF13414	37	3422774	Q6Z697_F1_nD3	Q6Z697_F1	afdb	128	2594639
109.4.1.1306	PF00515,PF13414	37	3433259	Q6H660_F1_nD2	Q6H660_F1	afdb	120	2608275
109.4.1.1306	PF00515,PF13414	37	3910251	Q6NXA1_F1_nD2	Q6NXA1_F1	afdb	195	2686398
109.4.1.1306	PF00515,PF13414	37	3299390	C6TJ63_F1_nD1	C6TJ63_F1	afdb	135	2449246
109.4.1.1306	PF00515,PF13414	37	3551045	P31948_F1_nD2	P31948_F1	afdb	125	2543659
109.4.1.1306	PF00515,PF13414	37	5123676	e7y4iB1	7y4i_B	pdb	168	4980248
109.4.1.1306	PF00515,PF13414	37	3229523	Q20683_F1_nD1	Q20683_F1	afdb	155	2800231
109.4.1.1306	PF00515,PF13414	37	4352287	Q7ZWU1_nD2	Q7ZWU1_F1	afdb	125	3963249
109.4.1.1306	PF00515,PF13414	37	4561779	Q4R8N7_nD2	Q4R8N7_F1	afdb	125	4172852
109.4.1.1306	PF00515,PF13414	37	4080543	F8RP11_nD2	F8RP11_F1	afdb	125	3691083
109.4.1.1306	PF00515,PF13414	37	4110030	Q3ZBZ8_nD2	Q3ZBZ8_F1	afdb	125	3720574
109.4.1.1306	PF00515,PF13414	37	3774852	Q80W98_F1_nD2	Q80W98_F1	afdb	235	2855730
109.4.1.1306	PF00515,PF13414	37	4829354	e7y4iA01	7y4i_A	pdb	168	4435462
109.4.1.1306	PF00515,PF13414	37	3807888	Q9STH1_F1_nD2	Q9STH1_F1	afdb	135	2813158
109.4.1.1306	PF00515,PF13414	37	3802248	Q5XEP2_F1_nD2	Q5XEP2_F1	afdb	125	2830227
109.4.1.1306	PF00515,PF13414	37	3777205	O70593_F1_nD2	O70593_F1	afdb	215	2871052
109.4.1.1306	PF00515,PF13414	37	2875705	e8a3tJ1	8a3t_J	pdb		2338822
109.4.1.1306	PF00515,PF13414	37	2875708	e8a3tK2	8a3t_K	pdb		2338819
109.4.1.1306	PF00515,PF13414	37	2875767	e8a5yJ2	8a5y_J	pdb		2338823
109.4.1.1306	PF00515,PF13414	37	2875769	e8a5yK2	8a5y_K	pdb		2338820
109.4.1.1306	PF00515,PF13414	37	3365066	I1K0K7_F1_nD2	I1K0K7_F1	afdb	130	2536003
109.4.1.1306	PF00515,PF13414	37	3890018	F1R7L2_F1_nD2	F1R7L2_F1	afdb	235	2659460
109.4.1.1306	PF00515,PF13414	37	3296501	A0A368UI47_F1_nD3	A0A368UI47_F1	afdb	125	2445461
109.4.1.1306	PF00515,PF13414	37	3678678	A0A1D6H8B1_F1_nD1	A0A1D6H8B1_F1	afdb	195	2707484
109.4.1.1306	PF00515,PF13414	37	3595786	A4HTP4_F1_nD2	A4HTP4_F1	afdb	135	3182990
109.4.1.1306	PF00515,PF13414	37	4248157	O54981_nD2	O54981_F1	afdb	125	3859072
109.4.1.1306	PF00515,PF13414	37	3416411	Q9VPN5_F1_nD3	Q9VPN5_F1	afdb	125	2987813
109.4.1.1306	PF00515,PF13414	37	3393818	Q9VQE9_F1_nD3	Q9VQE9_F1	afdb	159	2968059
109.4.1.1306	PF00515,PF13414	37	148560	e2lniA1	2lni_A	pdb	122	1662044
386.1.1.242	PF00096,PF23611	16	3898584	Q1LUX5_F1_nD6	Q1LUX5_F1	afdb	50	2670819
386.1.1.242	PF00096,PF23611	16	3841514	Q99KE8_F1_nD6	Q99KE8_F1	afdb	85	2733828
386.1.1.242	PF00096,PF23611	16	3218449	A9D4E4_F1_nD2	A9D4E4_F1	afdb	55	2779539
386.1.1.242	PF00096,PF23611	16	3471682	A0A5K4F9S8_F1_nD4	A0A5K4F9S8_F1	afdb	90	2879076
386.1.1.242	PF00096,PF23611	16	3488648	A0A5K4FA24_F1_nD2	A0A5K4FA24_F1	afdb	50	2901888
386.1.1.242	PF00096,PF23611	16	3996376	A0A0N4U0I1_F1_nD2	A0A0N4U0I1_F1	afdb	50	3103151
386.1.1.242	PF00096,PF23611	16	3863460	A2APF3_F1_nD8	A2APF3_F1	afdb	55	2765310
386.1.1.242	PF00096,PF23611	16	3894682	Q6DBW0_F1_nD1	Q6DBW0_F1	afdb	70	2665567
386.1.1.242	PF00096,PF23611	16	3883188	B8A5Z1_F1_nD2	B8A5Z1_F1	afdb	55	2650416
386.1.1.242	PF00096,PF23611	16	3407751	Q9VS55_F1_nD4	Q9VS55_F1	afdb	55	2987195
386.1.1.242	PF00096,PF23611	16	3562278	P52746_F1_nD8	P52746_F1	afdb	55	2566596
386.1.1.242	PF00096,PF23611	16	3507035	A0A077Z3M6_F1_nD4	A0A077Z3M6_F1	afdb	60	3062834
386.1.1.242	PF00096,PF23611	16	3936215	A0A0K0E8L2_F1_nD1	A0A0K0E8L2_F1	afdb	65	3620479
386.1.1.242	PF00096,PF23611	16	3486562	A0A3Q0KBU4_F1_nD1	A0A3Q0KBU4_F1	afdb	60	2899045
386.1.1.242	PF00096,PF23611	16	3772815	D3ZQ48_F1_nD7	D3ZQ48_F1	afdb	55	2878407
386.1.1.242	PF00096,PF23611	16	2035445	e2d9hA1	2d9h_A	pdb	78	2061816
2002.1.1.322	PF05185,PF17285	5	3683175	A0A1D6H090_F1_nD1	A0A1D6H090_F1	afdb	315	2707202
2002.1.1.322	PF05185,PF17285	5	4917232	e9py0A1	9py0_A	pdb		4521438
2002.1.1.322	PF05185,PF17285	5	4917235	e9py1A1	9py1_A	pdb		4521441
2002.1.1.322	PF05185,PF17285	5	4881574	e9dodA01	9dod_A	pdb	296	4487682
2002.1.1.322	PF05185,PF17285	5	4889574	e9pxzA1	9pxz_A	pdb	287	4493780
4012.3.1.4	PF22702	5	4922645	e9k4eA3	9k4e_A	pdb		4526851
4012.3.1.4	PF22702	5	4922641	e9k4fA3	9k4f_A	pdb		4526847
