10.1.3.186	PF11824	5018144	Q8PSR2_F1_nD2	Q8PSR2_F1	afdb	31-280	4626319
10.1.3.186	PF11824	4954605	A5UNZ3_F1_nD3	A5UNZ3_F1	afdb	431-555	4562780
10.1.3.186	PF11824	4954606	A5UNZ3_F1_nD4	A5UNZ3_F1	afdb	411-430,561-670	4562781
10.1.3.186	PF11824	5018138	Q8PSQ8_F1_nD1	Q8PSQ8_F1	afdb	51-175	4626313
10.1.3.186	PF11824	5018139	Q8PSQ8_F1_nD2	Q8PSQ8_F1	afdb	31-45,186-305	4626314
10.1.3.186	PF11824	5018133	Q8PSQ6_F1_nD1	Q8PSQ6_F1	afdb	26-320	4626308
10.1.3.186	PF11824	5018134	Q8PSQ7_F1_nD1	Q8PSQ7_F1	afdb	36-170	4626309
10.1.3.186	PF11824	5018135	Q8PSQ7_F1_nD2	Q8PSQ7_F1	afdb	171-330	4626310
10.1.3.182	PF02837	5037340	A0A257AIA7_F1_nD1	A0A257AIA7_F1	afdb	1-165	4645515
10.1.3.182	PF02837	5048966	A0A532T9Z1_F1_nD1	A0A532T9Z1_F1	afdb	6-200	4657141
10.1.3.182	PF02837	4946492	A0A9Y1FLM1_F1_nD1	A0A9Y1FLM1_F1	afdb	1-195	4554667
10.1.3.182	PF02837	4943627	A0A9Y1BJP9_F1_nD1	A0A9Y1BJP9_F1	afdb	1-215	4551802
10.1.3.182	PF02837	5083577	UPI003763D11A_nD1	UPI003763D11A	uniparc	51-235	4691752
10.1.3.182	PF02837	4996988	EPP00006742_nD1	EPP00006742	epp	41-205	4605163
10.1.3.191	PF16841	5039236	A0A2P6VW49_F1_nD2	A0A2P6VW49_F1	afdb	176-315	4647411
10.1.3.191	PF16841	5039237	A0A2P6VW49_F1_nD3	A0A2P6VW49_F1	afdb	321-445	4647412
10.1.3.191	PF16841	5039238	A0A2P6VW49_F1_nD4	A0A2P6VW49_F1	afdb	446-580	4647413
10.1.3.191	PF16841	5039239	A0A2P6VW49_F1_nD5	A0A2P6VW49_F1	afdb	586-710	4647414
10.1.3.191	PF16841	5039240	A0A2P6VW49_F1_nD6	A0A2P6VW49_F1	afdb	711-840	4647415
10.1.3.191	PF16841	5039241	A0A2P6VW49_F1_nD7	A0A2P6VW49_F1	afdb	846-970	4647416
10.1.3.181	PF02018	5041016	A0A2P6VTD8_F1_nD1	A0A2P6VTD8_F1	afdb	26-190	4649191
10.1.3.181	PF02018	4960568	D1Z1N3_F1_nD1	D1Z1N3_F1	afdb	176-330	4568743
10.1.3.181	PF02018	5081459	UPI00355FCBA6_nD1	UPI00355FCBA6	uniparc	276-435	4689634
10.1.3.181	PF02018	5081817	UPI0035607627_nD1	UPI0035607627	uniparc	286-440	4689992
10.1.3.181	PF02018	5064593	UPI002A9ED547_nD1	UPI002A9ED547	uniparc	6-135	4672768
10.1.3.194	PF18560	5034749	A0A151DYV6_F1_nD2	A0A151DYV6_F1	afdb	311-480	4642924
10.1.3.194	PF18560	5017906	Q8PS79_F1_nD2	Q8PS79_F1	afdb	291-455	4626081
10.1.3.194	PF18560	5021919	Q8Q0C6_F1_nD2	Q8Q0C6_F1	afdb	326-495	4630094
10.1.3.194	PF18560	4952405	A5UJI6_F1_nD1	A5UJI6_F1	afdb	11-105	4560580
