1008.1.1.86	PF03920	3767187	E9PTW9_F1_nD1	217490	16-120		t	provisional
10.1.1.100	PF10287,PF10290	4417696	P46992_nD1	315279	26-355		f	provisional
101.1.10.57	PF13872	3463534	A0A0P0XDZ9_F1_nD3	68558	231-330		t	provisional
101.11.1.11	PF19160	3824130	Q8RWE3_F1_nD1	450087	96-300		t	provisional
101.1.11.122	PF30224	2491451	e5xe3E1	1122990	E:1-81		t	provisional
101.1.1.267	PF26138	3834077	Q9LYH2_F1_nD2	483141	161-260,426-450	101.1.1.113	t	provisional
101.1.1.276	PF00249,PF13921	1031323	e1h89C3	1049569	C:43-108	101.1.1.67	t	provisional
101.1.1.285	PF25787	2671940	e6ursA1	723812	A:1-57	101.1.1.63	t	provisional
101.1.1.319	PF00249,PF23082	3411217	Q9VWL4_F1_nD4	499426	301-465	101.1.1.203	t	provisional
101.1.1.340	PF28509	3830929	Q1PF74_F1_nD1	342603	71-180,271-305	101.1.3.7	t	provisional
101.1.1.368	PF19575	3953033	L7N691_F1_nD1	278423	6-45		t	provisional
101.1.1.485	PF13309	3388396	Q0P8M2_F1_nD2	334137	151-218		t	provisional
101.1.1.539	PF04256	4169888	Q58345_nD1	395127	6-205		f	provisional
101.1.2.494	PF25873	4886556	A4WFK6_nD3	1272933	251-340		f	provisional
101.1.2.498	PF25870	3332625	I1LR30_F1_nD4	245255	251-345	101.1.2.304	t	provisional
101.1.2.601	PF07106,PF18517	3488598	A0A5K4EGG7_F1_nD1	157889	6-200	101.1.2.137	t	provisional
101.1.2.627	PF04844	3640877	K7V736_F1_nD1	277243	181-235		t	provisional
101.1.2.630	PF03141	3658629	A0A1D6EZM8_F1_nD2	112035	141-275		t	provisional
101.1.2.676	PF03962,PF18517	3621333	A0A044R7Z1_F1_nD1	1029	1-195	101.1.2.256	t	provisional
101.1.2.722	PF20222,PF28722	3639498	C1H778_F1_nD6	202649	1106-1210,1521-1530,1551-1655,1731-1815,1906-2015	101.1.2.370	t	provisional
101.1.2.836	PF06056	3977377	Q8ZMT0_F1_nD1	455229	11-115		t	provisional
101.1.2.913	PF19306	3289336	K0EQG7_F1_nD4	256863	436-530,751-810	101.1.2.364	t	provisional
101.1.3.20	PF13613	3883738	A4QN70_F1_nD2	176736	176-265		t	provisional
101.1.9.141	PF04394,PF13412	3989255	Q8DQ15_F1_nD1	438658	1-160	101.1.9.33	t	provisional
10.12.1.118	PF30252	1772495	e3g7dA1	1083739	A:1-228		t	provisional
10.12.1.162	PF08488,PF13947	3803103	Q7X8C5_F1_nD1	425216	36-245		t	provisional
102.1.1.153	PF21680	4886088	B3CR62_nD2	1338237	461-555		f	provisional
102.1.1.96	PF00633,PF03119,PF12826,PF14520	164353	e2owoA2	710595	A:403-586	102.1.1.10	t	provisional
10.30.1.9	PF25302	2770751	e7ji1A1	761277	A:41-159	10.32.1.26	t	provisional
10.32.1.215	PF29167	224055	e4hg6B3	957034	B:290-437	10.32.1.10	t	manual
10.32.1.259	PF08488	3822510	Q9LN59_F1_nD1	481600	61-160,206-275		t	provisional
10.32.1.283	PF00688	3914225	A0A0G2KD75_F1_nD1	33152	11-145		t	provisional
105.1.1.102	PF00038	3022693	e7x5dB1	921712	B:32-101	105.1.1.1	t	provisional
105.2.1.7	PF09787	3803845	B0F9L7_F1_nD3	179385	366-560		f	provisional
1065.1.1.7	PF22975	3775676	D3ZDV2_F1_nD3	209127	251-280,311-450	1065.1.1.4	t	provisional
1075.1.1.65	PF10920	2673983	e6xjhA1	573262	A:16-266	1075.1.1.3	t	provisional
1079.1.1.13	PF02659	4010426	P76264_F1_nD1	322500	1-185		t	provisional
1079.1.1.14	PF01914	4609029	P67143_nD1	321420	6-195		f	provisional
108.1.1.121	PF30624	3190	e1snlA1	724742	A:5-103	108.1.1.29	t	manual
109.1.1.46	PF10568,PF11801	4218592	P50110_nD2	316540	101-305		f	provisional
109.17.1.6	PF11919,PF16507,PF23096	2526918	e6reyc1	835340	c:26-1545,c:1568-1843	109.17.1.1	t	provisional
109.2.1.64	PF03200,PF22422	3174066	Q04336_F1_nD4	328377	401-430,456-885,906-950,986-1000	109.2.1.53	t	provisional
109.2.1.75	PF31219	2560572	e6hq6B1	790267	B:322-869,B:958-1064		t	provisional
109.24.1.7	PF06920,PF28208	3237760	Q20487_F1_nD3	343171	61-140,211-235,756-875,916-1070,1101-1185,1226-1285,1321-1705	109.24.1.1	t	provisional
109.3.1.163	PF00023,PF12796,PF13637,PF13857	161019	e2bkgA1	1200710	A:12-166	109.3.1.11	t	provisional
109.3.1.164	PF00023,PF12796,PF13606,PF13637	1482703	e4rlvA1	874850	A:14-853	109.3.1.1	t	manual
109.3.1.165	PF00023,PF12796,PF13606,PF13637,PF13857	4516	e1n11A1	949819	A:15-422	109.3.1.1	t	manual
109.3.1.166	PF00023,PF12796,PF13606	3798121	A0A5S6PQL6_F1_nD1	165579	6-405	109.3.1.2	t	provisional
109.3.1.194	PF04578	3647575	A0A1D6QL02_F1_nD5	131820	501-620,651-690		t	provisional
