109.4.1.3393	PF12717,PF12765,PF12922	3463224	Q7XAM6_F1_nD3	Q7XAM6_F1	afdb	206-455,531-795,816-1235	t	t
605.4.1.21	PF04006	3405329	Q9VLK1_F1_nD1	Q9VLK1_F1	afdb	11-100	f	t
3939.1.1.343	PF03528,PF09311	4220054	Q62835_nD2	Q62835_F1	afdb	71-165,276-375	f	t
101.1.4.86	PF02042	3808581	Q9SVF1_F1_nD3	Q9SVF1_F1	afdb	496-560	f	t
223.1.1.172	PF05186	4538874	Q6UBQ3_nD1	Q6UBQ3_F1	afdb	11-130,196-330	f	t
6170.1.1.16	PF01576	3779742	P02564_F1_nD4	P02564_F1	afdb	846-960,1396-1435,1471-1515,1541-1675	f	t
3633.1.1.4	PF07431	5066877	UPI0031668FAC_nD1	UPI0031668FAC	uniparc	16-200	f	t
601.1.1.156	PF06197	5052520	A0A532TDM3_F1_nD1	A0A532TDM3_F1	afdb	6-183	f	t
912.1.1.12	PF29730	3277430	Q54KU0_F1_nD6	Q54KU0_F1	afdb	1286-1450	f	t
632.3.1.21	PF27318	3166253	P44177_F1_nD2	P44177_F1	afdb	36-65	f	t
604.12.1.88	PF28329	3688361	A0A1C1CJS6_F1_nD1	A0A1C1CJS6_F1	afdb	261-415	f	t
601.1.2.134	PF05478	4575755	P82295_nD2	P82295_F1	afdb	111-125,156-240,486-565,846-880	f	t
586.1.1.33	PF04718	3489608	G4V9I3_F1_nD1	G4V9I3_F1	afdb	21-95	f	t
902.1.1.2	PF24153	3681535	A0A1D6HUE0_F1_nD1	A0A1D6HUE0_F1	afdb	96-134	f	t
375.6.1.4	PF09788	4183547	Q3TWL2_nD2	Q3TWL2_F1	afdb	181-210	f	t
10.1.2.198	PF24108	4962578	D4GRZ7_F1_nD1	D4GRZ7_F1	afdb	1-130	f	t
109.4.1.3249	PF13638	3711361	Q4D548_F1_nD1	Q4D548_F1	afdb	11-495,526-550	f	t
