1001.1.1.9	PF00384,PF04879	3961320	X8FGU0_F1_nD1	X8FGU0_F1	afdb	130	3478217
1001.1.1.9	PF00384,PF04879	3943177	A0A0H3GL40_F1_nD1	A0A0H3GL40_F1	afdb	135	3487516
1001.1.1.9	PF00384,PF04879	3944171	A0A0H3GNW0_F1_nD1	A0A0H3GNW0_F1	afdb	155	3488835
1001.1.1.9	PF00384,PF04879	3946462	A0A0H3GPL2_F1_nD1	A0A0H3GPL2_F1	afdb	155	3492083
1008.1.1.51	PF08638	3938576	A0A0K0E1Q9_F1_nD1	A0A0K0E1Q9_F1	afdb	95	3613780
1008.1.1.51	PF08638	3927285	A0A0K0DSV7_F1_nD1	A0A0K0DSV7_F1	afdb	115	3608467
1008.1.1.59	PF01312	4284121	Q44760_nD1	Q44760_F1	afdb	205	3895048
1008.1.1.59	PF01312	4125369	P35652_nD2	P35652_F1	afdb	110	3736235
10.10.1.5	PF24938	3300394	I1KSB0_F1_nD1	I1KSB0_F1	afdb	150	2450563
10.10.1.5	PF24938	3427653	Q2R429_F1_nD1	Q2R429_F1	afdb	155	2600953
10.10.1.5	PF24938	3680066	A0A1D6PSX0_F1_nD1	A0A1D6PSX0_F1	afdb	155	2717182
10.10.1.5	PF24938	3818787	A0A1P8AVN8_F1_nD1	A0A1P8AVN8_F1	afdb	145	2828364
10.10.1.5	PF24938	3314684	K7KQF7_F1_nD1	K7KQF7_F1	afdb	155	2469419
101.1.10.36	PF25029	3348543	K7LQE4_F1_nD1	K7LQE4_F1	afdb	125	2513940
101.1.10.36	PF25029	3335062	I1JPN1_F1_nD6	I1JPN1_F1	afdb	125	2496088
101.1.10.36	PF25029	3360780	A0A0R0HJ96_F1_nD2	A0A0R0HJ96_F1	afdb	110	2530245
101.1.10.36	PF25029	3823610	Q9M658_F1_nD2	Q9M658_F1	afdb	120	2835106
101.1.10.36	PF25029	3641962	A0A1D6LH37_F1_nD1	A0A1D6LH37_F1	afdb	85	2689516
101.1.10.36	PF25029	3647780	A0A1D6LKG4_F1_nD1	A0A1D6LKG4_F1	afdb	95	2697384
101.1.10.36	PF25029	3427631	A0A0P0WRQ5_F1_nD6	A0A0P0WRQ5_F1	afdb	124	2600921
101.1.10.36	PF25029	3679509	A0A1D6LHN1_F1_nD1	A0A1D6LHN1_F1	afdb	85	2713296
101.1.10.36	PF25029	3670585	A0A1D6GY91_F1_nD1	A0A1D6GY91_F1	afdb	115	2728187
101.1.10.36	PF25029	3306719	A0A368ULD4_F1_nD1	A0A368ULD4_F1	afdb	115	2458911
101.1.10.36	PF25029	3682040	A0A1D6NXU7_F1_nD6	A0A1D6NXU7_F1	afdb	135	2730765
101.1.10.36	PF25029	3669178	A0A1D6KTW7_F1_nD1	A0A1D6KTW7_F1	afdb	85	2726295
101.1.10.36	PF25029	3669173	A0A1D6ITC0_F1_nD1	A0A1D6ITC0_F1	afdb	95	2726286
101.1.10.36	PF25029	3683151	A0A1D6MLW3_F1_nD2	A0A1D6MLW3_F1	afdb	85	2706164
101.1.10.36	PF25029	3671800	A0A1D6F176_F1_nD1	A0A1D6F176_F1	afdb	80	2729817
101.1.10.36	PF25029	3300077	A0A0R0GXB3_F1_nD3	A0A0R0GXB3_F1	afdb	105	2450158
101.1.10.37	PF26138	3450254	A0A0P0XVV1_F1_nD1	A0A0P0XVV1_F1	afdb	110	2631166
101.1.10.37	PF26138	3375404	A0A0R0G463_F1_nD1	A0A0R0G463_F1	afdb	90	2516845
