domain_id,sequence_length,f_group_id,t_group_id,h_group_id,f_name,fgroup_median,fgroup_stddev,ratio_to_median,z_score,is_discontinuous,range_definition,source,anomaly_type
C5GVC6_nD4,1055,5.1.3.3,5.1.3,5.1,Neur,388.0,31.88734136793074,2.7190721649484537,20.917391396913548,True,"26-285,291-540,696-1215,1451-1475",AFDB,too_long
A0A5K4F6F7_F1_nD1,30,5.1.3.3,5.1.3,5.1,Neur,388.0,31.88734136793074,0.07731958762886598,-11.227025667308922,False,31-60,AFDB,too_short
A0A5K4ER92_F1_nD3,775,5.1.3.2,5.1.3,5.1,Ldl_recept_b,285.0,53.35974654281193,2.719298245614035,9.182952164265998,True,"6-315,771-915,951-1270",AFDB,too_long
A0A077YX06_F1_nD3,123,5.1.3.13,5.1.3,5.1,RAG2,351.0,27.787027723850795,0.3504273504273504,-8.205267661798093,False,291-413,AFDB,too_short
A3ALH0_F1_nD1,105,5.1.4.25,5.1.4,5.1,Me-amine-dh_H,359.0,31.745293137150842,0.2924791086350975,-8.001186157035331,False,31-135,AFDB,too_short
I1JBG5_F1_nD5,25,5.1.3.23,5.1.3,5.1,SGL,312.0,36.686811254804134,0.08012820512820513,-7.822974801671196,False,676-700,AFDB,too_short
A0A1D6NH88_F1_nD1,825,5.1.4.59,5.1.4,5.1,"nos_propeller,nos_propeller_2",449.0,48.48780893095457,1.8374164810690423,7.754526514807353,True,"1-105,126-605,681-695,731-825,871-895,921-1025",AFDB,too_long
A0A3Q0KPF9_F1_nD1,1175,5.1.4.2,5.1.4,5.1,"WD40,HELP",325.0,114.34585640748914,3.6153846153846154,7.433588122081955,True,"1-320,341-700,741-915,956-1275",AFDB,too_long
A4HSL1_F1_nD2,910,5.1.4.17,5.1.4,5.1,"CPSF_A,MMS1_N",385.0,72.68475810853381,2.3636363636363638,7.222972376355209,True,"21-100,131-160,191-245,311-350,391-450,471-620,751-775,801-830,1386-1580,1616-1675,1701-1875,1971-1980",AFDB,too_long
P20701_F1_nD6,25,5.1.4.13,5.1.4,5.1,FG-GAP,439.0,63.28730689708414,0.05694760820045558,-6.541596100356015,False,1086-1110,AFDB,too_short
Q8TB96_F1_nD3,25,5.1.4.13,5.1.4,5.1,FG-GAP,439.0,63.28730689708414,0.05694760820045558,-6.541596100356015,False,581-605,AFDB,too_short
Q13797_F1_nD5,25,5.1.4.13,5.1.4,5.1,FG-GAP,439.0,63.28730689708414,0.05694760820045558,-6.541596100356015,False,976-1000,AFDB,too_short
A0A0P0Y8Y4_F1_nD1,95,5.1.4.11,5.1.4,5.1,Clathrin_propel,330.0,36.18362711532116,0.2878787878787879,-6.494650170117811,False,16-110,AFDB,too_short
A0A077ZP22_F1_nD2,153,5.1.4.25,5.1.4,5.1,Me-amine-dh_H,359.0,31.745293137150842,0.42618384401114207,-6.489150977753064,False,26-178,AFDB,too_short
I1JLR9_F1_nD1,35,5.1.4.13,5.1.4,5.1,FG-GAP,439.0,63.28730689708414,0.07972665148063782,-6.383586532714566,True,"396-410,441-460",AFDB,too_short
A0A0N4UBK3_F1_nD1,780,5.1.3.25,5.1.3,5.1,Mcl1_mid,303.0,74.93932578243306,2.5742574257425743,6.36514933941154,False,1-780,AFDB,too_long
A6NE52_F1_nD1,1050,5.1.4.36,5.1.4,5.1,MMS1_N,355.0,109.426324825571,2.9577464788732395,6.3513053290225345,True,"1-800,1166-1360,1481-1510,1531-1555",AFDB,too_long
Q9W451_F1_nD2,25,5.1.4.5,5.1.4,5.1,"WD40,CAF1C_H4-bd",400.0,59.08406635626837,0.0625,-6.346888816670204,False,416-440,AFDB,too_short
C0NRB1_F1_nD1,25,5.1.4.5,5.1.4,5.1,"WD40,CAF1C_H4-bd",400.0,59.08406635626837,0.0625,-6.346888816670204,False,106-130,AFDB,too_short
K7MYI3_F1_nD2,25,5.1.4.5,5.1.4,5.1,"WD40,CAF1C_H4-bd",400.0,59.08406635626837,0.0625,-6.346888816670204,False,31-55,AFDB,too_short
I1LNS5_F1_nD1,25,5.1.3.5,5.1.3,5.1,HN,420.0,63.01328933302825,0.05952380952380952,-6.268518977201874,False,26-50,AFDB,too_short
K7MV34_F1_nD1,25,5.1.3.5,5.1.3,5.1,HN,420.0,63.01328933302825,0.05952380952380952,-6.268518977201874,False,1-25,AFDB,too_short
I1KAD3_F1_nD1,25,5.1.3.5,5.1.3,5.1,HN,420.0,63.01328933302825,0.05952380952380952,-6.268518977201874,False,36-60,AFDB,too_short
A8JAN3_nD3,970,5.1.4.19,5.1.4,5.1,Coatomer_WDAD,290.0,109.30521185580757,3.3448275862068964,6.221112318935325,True,"771-1075,1276-1360,1381-1715,1786-1820,1836-1860,1876-1915,1926-2070",AFDB,too_long
U7PUP3_F1_nD1,30,5.1.3.5,5.1.3,5.1,HN,420.0,63.01328933302825,0.07142857142857142,-6.189170635718306,False,11-40,AFDB,too_short
A0A175W0L4_F1_nD6,685,5.1.3.20,5.1.3,5.1,PD40,300.0,62.300845808542526,2.283333333333333,6.17969138305358,True,"901-1215,1236-1605",AFDB,too_long
Q4CW55_F1_nD2,995,5.1.4.1,5.1.4,5.1,WD40,345.0,105.602050889395,2.8840579710144927,6.1551834886312395,True,"86-145,211-1115,1316-1345",AFDB,too_long
A0A0R0FS60_F1_nD1,40,5.1.2.1,5.1.2,5.1,Glyco_hydro_32N,340.0,48.82674124429412,0.11764705882352941,-6.144174121697256,True,"1-20,41-60",AFDB,too_short
U7Q7U0_F1_nD2,38,5.1.4.5,5.1.4,5.1,"WD40,CAF1C_H4-bd",400.0,59.08406635626837,0.095,-6.126863337692304,False,728-765,AFDB,too_short
Q4DHX3_F1_nD1,985,5.1.4.1,5.1.4,5.1,WD40,345.0,105.602050889395,2.8550724637681157,6.060488358036912,True,"6-355,411-1045",AFDB,too_long
Q9VB20_F1_nD15,45,5.1.2.1,5.1.2,5.1,Glyco_hydro_32N,340.0,48.82674124429412,0.1323529411764706,-6.041771219668968,False,1251-1295,AFDB,too_short
